#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-10T08:55:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6048895c0678	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/ApJ/871/63&tab:{J/ApJ/871/63/table5}&key:source=J/ApJ/871/63/table5&HTTPPRM:&
#-source=J/ApJ/871/63/table5
#-order=I
#-out=Name
#-out=Per
#-out=E_Per
#-out=e_Per
#-out=a
#-out=E_a
#-out=e_a
#-out=e
#-out=E_e
#-out=e_e
#-out.all=2
#-out=i
#-out=E_i
#-out=e_i
#-out=omega
#-out=E_omega
#-out=e_omega
#-out=Omega
#-out=E_Omega
#-out=e_Omega
#-out=MJD
#-out=E_MJD
#-out=e_MJD
#-out=a3/P2
#-out=e_a3/P2
#-out=chi2
#-out=dof
#-out.all=2
#
#
#RESOURCE=yCat_18710063
#Name: J/ApJ/871/63
#Title: How to constrain your M dwarf. II. Nearby binaries (Mann+, 2019)
#Table	J_ApJ_871_63_table5:
#Name: J/ApJ/871/63/table5
#Title: Orbital Parameters
#Column	Name	(a10)	System identifier	[ucd=meta.id;pos.frame]
#Column	Per	(F8.5)	[0.84/63] Orbital period	[ucd=time.period]
#Column	E_Per	(F8.5)	[1.4e-4/9.2] Upper uncertainty in Per	[ucd=stat.error;stat.max]
#Column	e_Per	(F8.5)	[1.4e-4/7.2] Lower uncertainty in Per	[ucd=stat.error]
#Column	a	(F7.2)	[80/2447] Semi-major axis ({alpha})	[ucd=phys.angSize.smajAxis;src.orbital]
#Column	E_a	(F6.2)	[0.17/113] Upper uncertainty in a	[ucd=stat.error;stat.max]
#Column	e_a	(F5.2)	[0.17/84] Lower uncertainty in a	[ucd=stat.error]
#Column	e	(F8.5)	[0.029/0.87] Eccentricity	[ucd=src.orbital.eccentricity]
#Column	E_e	(F8.5)	[1.3e-4/0.14]Upper uncertainty in e	[ucd=stat.error;stat.max]
#Column	e_e	(F8.5)	[1.3e-4/0.12] Lower uncertainty in e	[ucd=stat.error]
#Column	i	(F7.3)	[12/167] Inclination	[ucd=src.orbital.inclination]
#Column	E_i	(F6.3)	[0.016/6.3] Upper uncertainty in i	[ucd=stat.error;stat.max]
#Column	e_i	(F6.3)	[0.016/9.5] Lower uncertainty in i	[ucd=stat.error]
#Column	omega	(F7.3)	[1.4/350] Argument of periastron ({omega})	[ucd=src.orbital.periastron]
#Column	E_omega	(F7.3)	[0.02/332] Upper uncertainty in omega	[ucd=stat.error;stat.max]
#Column	e_omega	(F6.3)	[0.02/60] Lower uncertainty in omega	[ucd=stat.error]
#Column	Omega	(F7.3)	[8/265] Position angle of the ascending node ({Omega})	[ucd=src.orbital.node]
#Column	E_Omega	(F6.3)	[0.022/46] Upper uncertainty in Omega	[ucd=stat.error;stat.max]
#Column	e_Omega	(F7.3)	[0.022/163] Lower uncertainty in Omega	[ucd=stat.error]
#Column	MJD	(F8.2)	[51189/71033] Modified Julian Date of periastron passage	[ucd=time.epoch]
#Column	E_MJD	(F8.2)	[0.23/12032] Upper uncertainty in MJD	[ucd=stat.error;stat.max]
#Column	e_MJD	(F7.2)	[0.23/3397] Lower uncertainty in MJD	[ucd=stat.error;time.epoch]
#Column	a3/P2	(E10.3)	[2.9e-5/0.013] Semi-major axis cubed dived by Period squared	[ucd=stat.fit.omc]
#Column	e_a3/P2	(E10.3)	[1.3e-7/1.9e-4] Uncertainty in a3/P2	[ucd=stat.error]
#Column	chi2	(F5.1)	[1.5/124] The {chi}^2^	[ucd=stat.fit.chi2]
#Column	dof	(I3)	[3/105] Degrees of freedom	[ucd=stat.fit.dof]
Name|Per|E_Per|e_Per|a|E_a|e_a|e|E_e|e_e|i|E_i|e_i|omega|E_omega|e_omega|Omega|E_Omega|e_Omega|MJD|E_MJD|e_MJD|a3/P2|e_a3/P2|chi2|dof
# |yr|yr|yr|mas|mas|mas| | | |deg|deg|deg|deg|deg|deg|deg|deg|deg|d|d|d|arcsec3/yr2|arcsec3/yr2| |
#----------|--------|--------|--------|-------|------|-----|--------|--------|--------|-------|------|------|-------|-------|------|-------|------|-------|--------|--------|-------|----------|----------|-----|---
GJ 1005   | 4.55726| 0.00075| 0.00074| 312.85|  0.50| 0.50| 0.36136| 0.00097| 0.00098|143.930| 0.250| 0.240|345.260|  0.620| 0.620| 61.230| 0.410|  0.410|58172.90|    1.90|   1.90| 1.474e-03| 7.200e-06| 85.9| 67
GJ 2005   |17.29600| 0.01100| 0.01100| 463.36|  0.57| 0.56| 0.02900| 0.00093| 0.00091| 62.816| 0.050| 0.051|143.300|  2.400| 2.200| 11.798| 0.084|  0.085|59158.00|   42.00|  40.00| 3.326e-04| 1.500e-06|101.6| 85
Gl 22     |15.42750| 0.00540| 0.00540| 510.26|  0.74| 0.74| 0.15760| 0.00130| 0.00130| 44.290| 0.150| 0.150|104.900|  0.530| 0.530|176.750| 0.210|  0.210|57447.00|    5.10|   5.20| 5.582e-04| 2.600e-06| 75.5| 65
Gl 54     | 1.14434| 0.00022| 0.00022| 126.19|  0.39| 0.39| 0.17180| 0.00240| 0.00240|125.320| 0.350| 0.350| 47.330|  0.920| 0.930| 92.040| 0.400|  0.400|58124.00|    1.10|   1.10| 1.534e-03| 1.400e-05| 37.9| 33
GJ 1038   | 5.98000| 1.02000| 0.77000| 139.70| 14.50| 9.70| 0.54000| 0.12000| 0.11000| 72.900| 1.900| 2.500|174.000| 13.000|16.000|105.900| 1.600|  2.700|58313.00|   41.00|1976.00| 7.670e-05| 5.200e-06|  1.5|  9
Gl 65     |26.35900| 0.02500| 0.02400|2049.60|  3.40| 3.40| 0.62220| 0.00150| 0.00150|128.090| 0.150| 0.150|283.340|  0.085| 0.084|146.290| 0.140|  0.140|60591.90|    9.40|   9.40| 1.239e-02| 5.800e-05| 96.7| 89
Gl 84     |13.32800| 0.03700| 0.03700| 495.50|  1.20| 1.20| 0.37710| 0.00820| 0.00810| 91.771| 0.056| 0.057|245.620|  0.480| 0.480|102.987| 0.022|  0.022|61554.00|   14.00|  14.00| 6.850e-04| 6.600e-06| 21.4| 17
2M0213+36 | 6.41900| 0.06700| 0.07100| 161.50|  1.30| 1.30| 0.42320| 0.00390| 0.00380|115.300| 0.240| 0.240|207.660|  0.720| 0.730| 83.730| 0.320|  0.330|57604.50|    2.80|   2.90| 1.023e-04| 1.600e-06| 28.8| 11
Gl 98     |25.25500| 0.02100| 0.02100| 559.84|  0.66| 0.65| 0.23540| 0.00130| 0.00130| 73.389| 0.048| 0.047|231.490|  0.210| 0.210|109.116| 0.022|  0.022|56417.30|    4.60|   4.70| 2.751e-04| 9.800e-07| 87.6| 85
Gl 99     |24.01500| 0.08600| 0.08400| 360.53|  0.72| 0.71| 0.20870| 0.00280| 0.00250| 84.605| 0.049| 0.049|152.600|  1.900| 1.900| 98.836| 0.087|  0.090|56340.00|   43.00|  43.00| 8.126e-05| 2.700e-07| 23.8| 25
Gl 125    |25.67000| 0.20000| 0.19000| 534.50|  2.30| 2.30| 0.22710| 0.00440| 0.00440| 97.186| 0.026| 0.026|181.380|  0.350| 0.360| 13.732| 0.082|  0.081|64226.00|   74.00|  73.00| 2.317e-04| 9.800e-07| 12.6| 23
Gl 150.2  |13.60400| 0.04500| 0.04600| 254.90|  1.30| 1.30| 0.26800| 0.01100| 0.01000|101.790| 0.380| 0.380|250.500|  1.200| 1.300|100.680| 0.460|  0.450|58570.00|   23.00|  24.00| 8.950e-05| 1.600e-06| 25.4| 19
Gl 190    | 0.96380| 0.00024| 0.00024|  99.12|  0.85| 0.85| 0.24410| 0.00930| 0.00910| 92.960| 0.260| 0.250|186.400|  5.700| 5.900| 40.420| 0.170|  0.170|58182.40|    6.50|   6.70| 1.048e-03| 2.700e-05| 25.5| 31
